filename,word_count,ten_grams
WR-P-P-B-0000000381.dcoi.xml,7019,7010
WR-P-P-B-0000000382.dcoi.xml,1927,1918
WR-P-P-B-0000000383.dcoi.xml,28630,28621
WR-P-P-B-0000000384.dcoi.xml,18556,18547
WR-P-P-B-0000000385.dcoi.xml,31120,31111
WR-P-P-B-0000000386.dcoi.xml,23605,23596
WR-P-P-B-0000000387.dcoi.xml,28724,28715
WR-P-P-B-0000000388.dcoi.xml,12874,12865
WR-P-P-B-0000000389.dcoi.xml,12158,12149
WR-P-P-B-0000000390.dcoi.xml,7766,7757
WR-P-P-B-0000000391.dcoi.xml,4081,4072
WR-P-P-B-0000000392.dcoi.xml,3807,3798
WR-P-P-B-0000000393.dcoi.xml,2785,2776
WR-P-P-B-0000000394.dcoi.xml,2567,2558
WR-P-P-B-0000000395.dcoi.xml,2431,2422
WR-P-P-B-0000000396.dcoi.xml,1334,1325
WR-P-P-B-0000000397.dcoi.xml,3121,3112
WR-P-P-B-0000000398.dcoi.xml,2289,2280
WR-P-P-B-0000000399.dcoi.xml,1288,1279
WR-P-P-B-0000000400.dcoi.xml,586,577
WR-P-P-B-0000000401.dcoi.xml,8646,8637
WR-P-P-B-0000000402.dcoi.xml,3008,2999
WR-P-P-B-0000000403.dcoi.xml,3145,3136
WR-P-P-B-0000000404.dcoi.xml,1926,1917
WR-P-P-B-0000000405.dcoi.xml,3084,3075
WR-P-P-B-0000000406.dcoi.xml,382,373
WR-P-P-B-0000000407.dcoi.xml,404,395
WR-P-P-B-0000000408.dcoi.xml,831,822
WR-P-P-B-0000000409.dcoi.xml,13689,13680
WR-P-P-B-0000000410.dcoi.xml,44425,44416
WR-P-P-B-0000000411.dcoi.xml,34081,34072
WR-P-P-B-0000000412.dcoi.xml,24921,24912
WR-P-P-B-0000000413.dcoi.xml,33828,33819
WR-P-P-B-0000000414.dcoi.xml,30840,30831
WR-P-P-B-0000000415.dcoi.xml,20617,20608
WR-P-P-B-0000000416.dcoi.xml,21005,20996
WR-P-P-B-0000000417.dcoi.xml,2989,2980
WR-P-P-B-0000000418.dcoi.xml,28298,28289
WR-P-P-B-0000000419.dcoi.xml,23028,23019
WR-P-P-B-0000000420.dcoi.xml,26604,26595
WR-P-P-B-0000000421.dcoi.xml,25870,25861
WR-P-P-B-0000000422.dcoi.xml,23272,23263
WR-P-P-B-0000000423.dcoi.xml,28726,28717
WR-P-P-B-0000000424.dcoi.xml,7978,7969
WR-P-P-B-0000000425.dcoi.xml,11769,11760
WR-P-P-B-0000000426.dcoi.xml,6739,6730
WR-P-P-B-0000000427.dcoi.xml,21128,21119
WR-P-P-B-0000000428.dcoi.xml,50051,50042
WR-P-P-B-0000000429.dcoi.xml,17385,17376
WR-P-P-B-0000000430.dcoi.xml,6700,6691
WR-P-P-B-0000000431.dcoi.xml,3306,3297
WR-P-P-B-0000000432.dcoi.xml,41235,41226
WR-P-P-B-0000000433.dcoi.xml,45650,45641
WR-P-P-B-0000000434.dcoi.xml,3853,3844
WR-P-P-B-0000000435.dcoi.xml,41832,41823
WR-P-P-B-0000000436.dcoi.xml,12617,12608
WR-P-P-B-0000000437.dcoi.xml,6441,6432
WR-P-P-B-0000000438.dcoi.xml,2310,2301
WR-P-P-B-0000000439.dcoi.xml,4724,4715
WR-P-P-B-0000000440.dcoi.xml,750,741
WR-P-P-B-0000000441.dcoi.xml,1522,1513
WR-P-P-B-0000000442.dcoi.xml,3524,3515
WR-P-P-B-0000000443.dcoi.xml,1315,1306
WR-P-P-B-0000000444.dcoi.xml,1690,1681
WR-P-P-B-0000000445.dcoi.xml,1721,1712
WR-P-P-B-0000000446.dcoi.xml,1411,1402
WR-P-P-B-0000000447.dcoi.xml,7019,7010
WR-P-P-B-0000000448.dcoi.xml,2173,2164
WR-P-P-B-0000000449.dcoi.xml,10588,10579
WR-P-P-B-0000000450.dcoi.xml,11850,11841
WR-P-P-B-0000000451.dcoi.xml,8955,8946
WR-P-P-B-0000000452.dcoi.xml,24468,24459
WR-P-P-B-0000000453.dcoi.xml,19014,19005
WR-P-P-B-0000000454.dcoi.xml,11771,11762
WR-P-P-B-0000000455.dcoi.xml,32577,32568
WR-P-P-B-0000000456.dcoi.xml,3696,3687
WR-P-P-B-0000000457.dcoi.xml,1934,1925
WR-P-P-B-0000000458.dcoi.xml,4409,4400
WR-P-P-B-0000000459.dcoi.xml,425,416
WR-P-P-B-0000000460.dcoi.xml,28763,28754
WR-P-P-B-0000000461.dcoi.xml,18674,18665
WR-P-P-B-0000000462.dcoi.xml,31198,31189
WR-P-P-B-0000000463.dcoi.xml,23086,23077
WR-P-P-B-0000000464.dcoi.xml,29358,29349
WR-P-P-B-0000000465.dcoi.xml,12026,12017
WR-P-P-B-0000000466.dcoi.xml,11792,11783
WR-P-P-B-0000000467.dcoi.xml,7496,7487
WR-P-P-B-0000000468.dcoi.xml,3851,3842
WR-P-P-B-0000000469.dcoi.xml,3531,3522
WR-P-P-B-0000000470.dcoi.xml,2622,2613
WR-P-P-B-0000000471.dcoi.xml,2404,2395
WR-P-P-B-0000000472.dcoi.xml,2415,2406
WR-P-P-B-0000000473.dcoi.xml,1298,1289
WR-P-P-B-0000000474.dcoi.xml,2866,2857
WR-P-P-B-0000000475.dcoi.xml,2070,2061
WR-P-P-B-0000000476.dcoi.xml,1192,1183
WR-P-P-B-0000000477.dcoi.xml,574,565
WR-P-P-B-0000000478.dcoi.xml,8684,8675
WR-P-P-B-0000000479.dcoi.xml,2845,2836
WR-P-P-B-0000000480.dcoi.xml,3070,3061
WR-P-P-B-0000000481.dcoi.xml,1968,1959
WR-P-P-B-0000000482.dcoi.xml,3260,3251
WR-P-P-B-0000000483.dcoi.xml,358,349
WR-P-P-B-0000000484.dcoi.xml,389,380
WR-P-P-B-0000000485.dcoi.xml,815,806
WR-P-P-B-0000000486.dcoi.xml,13219,13210
WR-P-P-B-0000000488.dcoi.xml,47500,47491
WR-P-P-B-0000000489.dcoi.xml,38684,38675
WR-P-P-B-0000000490.dcoi.xml,28828,28819
WR-P-P-B-0000000491.dcoi.xml,38569,38560
WR-P-P-B-0000000492.dcoi.xml,34621,34612
WR-P-P-B-0000000493.dcoi.xml,23202,23193
WR-P-P-B-0000000494.dcoi.xml,22976,22967
WR-P-P-B-0000000495.dcoi.xml,3158,3149
WR-P-P-B-0000000496.dcoi.xml,30792,30783
WR-P-P-B-0000000497.dcoi.xml,25393,25384
WR-P-P-B-0000000498.dcoi.xml,29950,29941
WR-P-P-B-0000000499.dcoi.xml,28622,28613
WR-P-P-B-0000000500.dcoi.xml,25789,25780
WR-P-P-B-0000000501.dcoi.xml,31569,31560
WR-P-P-B-0000000502.dcoi.xml,9037,9028
WR-P-P-B-0000000503.dcoi.xml,12899,12890
WR-P-P-B-0000000504.dcoi.xml,7089,7080
WR-P-P-B-0000000505.dcoi.xml,22366,22357
WR-P-P-B-0000000506.dcoi.xml,53568,53559
WR-P-P-B-0000000507.dcoi.xml,18753,18744
